DATE,TOTALDEMAND,PRICECATEGORY,min_temp,max_temp,rain,evap,sun,dir_max_wind,speed_max_wind,time_max_wind,9am_temp,9am_humid,9am_cloud,9am_wind_dir,9am_wind_speed,9am_press,3pm_temp,3pm_humid,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_press
20/08/2021,6331.48,MEDIUM,8.7,17.3,0.8,3.6,3.2,0,50,14:27,11.3,80,6,22.5,11,1016.7,16.7,51,3,0,28,1012.1
21/01/2021,7046.57,MEDIUM,12.7,31.6,0,7.6,12.5,202.5,22,11:59,16.8,73,7,0,11,1016.3,29.6,37,5,225,7,1010.3
21/02/2021,5031.1,LOW,17.9,20.6,0,6,0,180,30,20:43,18.1,87,8,112.5,6,1011.4,19,75,8,202.5,13,1010.6
21/03/2021,4958.01,MEDIUM,16.7,21.7,1.2,3,0,112.5,17,16:34,18.9,96,8,180,2,1022.6,21.5,86,8,-1,0,1020
21/04/2021,6539.68,EXTREME,7.1,14.9,10.4,0.2,7.7,0,19,23:00,10,65,1,315,2,1019.2,14.2,48,6,180,7,1015.4
21/05/2021,6736.74,EXTREME,6.2,17.7,0,1.6,8.9,22.5,15,8:39,7.2,100,1,22.5,11,1031.9,16.4,44,1,202.5,7,1028.6
21/06/2021,7247.87,EXTREME,3.9,15.4,0.2,0.4,9.1,0,26,12:22,6.3,94,1,45,7,1028.7,14.6,51,1,0,15,1025.8
21/07/2021,7391.37,EXTREME,6.5,13.6,10.8,1.6,2.8,247.5,31,0:37,8.9,80,7,270,6,1020.5,12,69,6,247.5,7,1019
21/08/2021,5705.47,MEDIUM,10.6,20,1,3.6,10.2,315,33,11:24,13.9,64,0,337.5,13,1015.3,18.9,44,4,315,13,1013.8
22/01/2021,5954.97,MEDIUM,15.8,25,0,9,11.4,180,35,16:47,20.2,52,7,180,11,1009.7,23.3,59,3,202.5,13,1009.9
22/02/2021,5100.4,LOW,15.9,21.8,0,2.8,6.3,202.5,43,15:24,17.8,71,7,247.5,9,1012.3,20.4,52,7,180,17,1012.5
22/03/2021,5561.02,HIGH,17.5,24.2,5.6,2.6,1.8,22.5,31,12:51,18.9,94,7,22.5,6,1018.8,21.6,72,7,0,13,1016.1
22/04/2021,6464.1,HIGH,9.9,17,0,4,1.6,247.5,30,16:15,13.4,62,7,337.5,13,1013.3,16.8,46,7,292.5,9,1012
22/05/2021,6108.91,EXTREME,3.6,19.2,0,3,9.3,0,35,12:19,6.8,77,1,22.5,7,1027,18.9,36,0,0,13,1023.6
22/06/2021,7162.85,EXTREME,3.7,16.3,0,2,1.9,22.5,28,13:37,5.6,91,7,22.5,6,1029.6,14.4,56,7,22.5,13,1026.2
22/07/2021,7536.62,EXTREME,5.1,11.8,0.6,2.6,0.1,337.5,46,14:11,7.8,88,7,0,17,1015.8,10.5,66,7,0,22,1010.7
